Rxnid	FIM_Diag
0001	7.941613e-08
0002	-7.279988e-08
0003	-5.609930e-09
0004	-2.016361e-09
0005	-8.301004e-08
0006	-1.730002e-13
0007	2.299645e-11
0008	-7.013013e-14
0009	6.144921e-10
0010	2.463794e-11
0011	6.983493e-10
0012	2.273429e-09
0013	-1.337902e-09
0014	-6.832001e-10
0015	3.681030e-15
0016	3.639314e-09
0017	5.420908e-13
0018	7.643751e-08
0019	2.978081e-09
0020	-2.016298e-09
0021	-1.312626e-09
0022	-4.424154e-14
0023	-3.561124e-10
0024	-1.635015e-09
0025	2.135461e-11
0026	5.253774e-09
0027	2.971811e-09
0028	4.781496e-12
0029	9.513961e-13
